lake,datetime,temp_c,wind_kph,wind_dir,humidity,cloud,uv,precip_mm,condition,pressure_mb,dew_point_c,feelslike_c,gust_kph,is_day,will_it_rain,will_it_snow,vis_km,estimated_water_temp_c,estimated_wave_height_m,paddle_score,skill_level,season,season_intensity,hemisphere,climate_zone,region,regional_pattern,latitude,longitude,month,day_of_year,lake_region,lake_type,base_lake_name
Lake Minnewanka,2019-08-01 00:00,13.0,5.0,SW,65,5,0.0,0.0,Clear,1014.0,6.6,13.2,13.7,0,0,0,10.0,8.6,0.01103783729168972,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 01:00,12.7,5.5,SW,65,5,0.0,0.0,Clear,1014.0,6.3,12.7,14.5,0,0,0,10.0,8.3,0.012375285017811188,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 02:00,12.3,6.0,WSW,65,5,0.0,0.0,Clear,1014.0,6.0,12.2,15.5,0,0,0,10.0,7.9,0.013737303178610452,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 03:00,12.0,6.5,WSW,65,6,0.0,0.0,Clear,1014.0,5.7,11.7,16.7,0,0,0,10.0,7.6,0.015122235971450368,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 04:00,11.7,6.6,WSW,66,6,0.0,0.0,Clear,1014.0,5.6,11.3,16.8,0,0,0,10.0,7.3,0.015401843469769355,3.5,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 05:00,10.2,6.7,WSW,67,6,0.0,0.0,Clear,1014.0,6.4,9.5,12.5,0,0,0,10.0,5.8,0.01568229957788435,3.5,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 06:00,11.1,6.8,WSW,69,6,0.0,0.0,Clear,1015.0,5.5,10.5,12.6,0,0,0,10.0,6.7,0.015963594147242223,3.5,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 07:00,12.6,6.7,SW,62,7,0.0,0.0,Sunny,1015.0,8.1,12.3,12.4,1,0,0,10.0,8.2,0.01568229957788435,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 08:00,14.3,6.6,SW,56,8,0.0,0.0,Sunny,1014.0,7.7,14.3,16.5,1,0,0,10.0,9.9,0.015401843469769355,4.0,Intermediate,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
Lake Minnewanka,2019-08-01 09:00,17.8,6.5,SW,50,8,0.6,0.0,Sunny,1014.0,8.3,17.8,16.2,1,0,0,10.0,13.4,0.015122235971450368,4.5,Beginner,summer,late,northern,temperate,North_America_North,continental,51.25,-115.35,8,213,Canada_Alberta,Lake,Lake Minnewanka
